taxonomy_id	name	rank	lineage	SRR13439799_k2_pluspf.kraken2.kraken2.report	SRR13439802_k2_pluspf.kraken2.kraken2.report	SRR13439802_ntc1DNA_k2_pluspf.kraken2.kraken2.report	SRR13439802_ntc1RNA_k2_pluspf.kraken2.kraken2.report	SRR13439802_ntc2DNA_k2_pluspf.kraken2.kraken2.report	SRR13439790_k2_pluspf.kraken2.kraken2.report	SRR13439813_k2_pluspf.kraken2.kraken2.report
91061	Bacilli	class	Bacteria;Terrabacteria group;Bacillota;Bacilli	0	15	15	15	15	11	13
1385	Bacillales	order	Bacteria;Terrabacteria group;Bacillota;Bacilli;Bacillales	0	7	7	7	7	5	5
186817	Bacillaceae	family	Bacteria;Terrabacteria group;Bacillota;Bacilli;Bacillales;Bacillaceae	0	1	1	1	1	1	9
2675232	Neobacillus	genus	Bacteria;Terrabacteria group;Bacillota;Bacilli;Bacillales;Bacillaceae;Neobacillus	0	0	0	0	0	0	0
2675272	unclassified Neobacillus	no rank	Bacteria;Terrabacteria group;Bacillota;Bacilli;Bacillales;Bacillaceae;Neobacillus	0	0	0	0	0	0	0
2963105	Neobacillus sp. Marseille-Q6967	species	Bacteria;Terrabacteria group;Bacillota;Bacilli;Bacillales;Bacillaceae;Neobacillus;Neobacillus sp. Marseille-Q6967	1	0	0	0	0	0	0
3047874	Neobacillus sp. YX16	species	Bacteria;Terrabacteria group;Bacillota;Bacilli;Bacillales;Bacillaceae;Neobacillus;Neobacillus sp. YX16	1	0	0	0	0	0	0
2675231	Mesobacillus	genus	Bacteria;Terrabacteria group;Bacillota;Bacilli;Bacillales;Bacillaceae;Mesobacillus	0	0	0	0	0	0	0
279826	Mesobacillus foraminis	species	Bacteria;Terrabacteria group;Bacillota;Bacilli;Bacillales;Bacillaceae;Mesobacillus;Mesobacillus foraminis	1	0	0	0	0	0	0
2804231	Lederbergia	genus	Bacteria;Terrabacteria group;Bacillota;Bacilli;Bacillales;Bacillaceae;Lederbergia	0	0	0	0	0	0	0
1467	Lederbergia lenta	species	Bacteria;Terrabacteria group;Bacillota;Bacilli;Bacillales;Bacillaceae;Lederbergia;Lederbergia lenta	1	0	0	0	0	0	1
186818	Planococcaceae	family	Bacteria;Terrabacteria group;Bacillota;Bacilli;Bacillales;Planococcaceae	0	0	0	0	0	0	0
1372	Planococcus	genus	Bacteria;Terrabacteria group;Bacillota;Bacilli;Bacillales;Planococcaceae;Planococcus	0	0	0	0	0	0	0
459472	Planococcus glaciei	species	Bacteria;Terrabacteria group;Bacillota;Bacilli;Bacillales;Planococcaceae;Planococcus;Planococcus glaciei	1	0	0	0	0	0	0
186801	Clostridia	class	Bacteria;Terrabacteria group;Bacillota;Clostridia	0	0	0	0	0	0	0
68295	Thermoanaerobacterales	order	Bacteria;Terrabacteria group;Bacillota;Clostridia;Thermoanaerobacterales	0	0	0	0	0	0	0
186814	Thermoanaerobacteraceae	family	Bacteria;Terrabacteria group;Bacillota;Clostridia;Thermoanaerobacterales;Thermoanaerobacteraceae	0	0	0	0	0	0	0
