taxonomy_id	name	rank	lineage	SRR13439799_p_compressed+h+v.centrifuge	SRR13439802_p_compressed+h+v.centrifuge	SRR13439790_p_compressed+h+v.centrifuge	SRR13439813_p_compressed+h+v.centrifuge
1618207	Psychromicrobium lacuslunae	species	Bacteria;Terrabacteria group;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Psychromicrobium;Psychromicrobium lacuslunae	1	0	0	3
85009	Propionibacteriales	order	Bacteria;Terrabacteria group;Actinomycetota;Actinomycetes;Propionibacteriales	0	0	0	2
85015	Nocardioidaceae	family	Bacteria;Terrabacteria group;Actinomycetota;Actinomycetes;Propionibacteriales;Nocardioidaceae	0	1	0	1
182639	Kribbella	genus	Bacteria;Terrabacteria group;Actinomycetota;Actinomycetes;Propionibacteriales;Kribbellaceae;Kribbella	0	0	0	0
182640	Kribbella flavida	species	Bacteria;Terrabacteria group;Actinomycetota;Actinomycetes;Propionibacteriales;Kribbellaceae;Kribbella;Kribbella flavida	1	1	0	13
1798711	Cyanobacteriota/Melainabacteria group	clade	Bacteria;Terrabacteria group	0	0	0	0
1117	Cyanobacteriota	phylum	Bacteria;Terrabacteria group;Cyanobacteriota	0	3	2	12
1301283	Oscillatoriophycideae	subclass	Bacteria;Terrabacteria group;Cyanobacteriota;Cyanophyceae;Oscillatoriophycideae	0	0	0	0
1118	Chroococcales	order	Bacteria;Terrabacteria group;Cyanobacteriota;Cyanophyceae;Oscillatoriophycideae;Chroococcales	0	0	0	0
1890464	Chroococcaceae	family	Bacteria;Terrabacteria group;Cyanobacteriota;Cyanophyceae;Oscillatoriophycideae;Chroococcales;Chroococcaceae	0	0	0	0
669357	Geminocystis	genus	Bacteria;Terrabacteria group;Cyanobacteriota;Cyanophyceae;Oscillatoriophycideae;Chroococcales;Geminocystaceae;Geminocystis	0	0	0	0
1617448	Geminocystis sp. NIES-3709	species	Bacteria;Terrabacteria group;Cyanobacteriota;Cyanophyceae;Oscillatoriophycideae;Chroococcales;Geminocystaceae;Geminocystis;Geminocystis sp. NIES-3709	1	0	0	3
1224	Pseudomonadota	phylum	Bacteria;Pseudomonadota	0	10	2	2249
1236	Gammaproteobacteria	class	Bacteria;Pseudomonadota;Gammaproteobacteria	0	10	0	274
91347	Enterobacterales	order	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales	0	3	0	43
543	Enterobacteriaceae	family	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae	0	16	0	121
401618	Candidatus Riesia	genus	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Candidatus Riesia	0	0	0	0
401619	Candidatus Riesia pediculicola	species	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Candidatus Riesia;Candidatus Riesia pediculicola	1	0	0	0
1330547	Kosakonia	genus	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Kosakonia	0	0	0	0
1158459	Kosakonia sacchari	species	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Kosakonia;Kosakonia sacchari	1	0	0	2
135622	Alteromonadales	order	Bacteria;Pseudomonadota;Gammaproteobacteria;Alteromonadales	0	0	0	3
267890	Shewanellaceae	family	Bacteria;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Shewanellaceae	0	0	0	0
22	Shewanella	genus	Bacteria;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Shewanellaceae;Shewanella	0	10	0	5
62322	Shewanella baltica	species	Bacteria;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Shewanellaceae;Shewanella;Shewanella baltica	1	0	0	23
271098	Shewanella halifaxensis	species	Bacteria;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Shewanellaceae;Shewanella;Shewanella halifaxensis	1	0	0	1
72274	Pseudomonadales	order	Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales	0	0	0	0
468	Moraxellaceae	family	Bacteria;Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae	0	5	0	5
469	Acinetobacter	genus	Bacteria;Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter	0	20	0	7
909768	Acinetobacter calcoaceticus/baumannii complex	species group	Bacteria;Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter;Acinetobacter calcoaceticus/baumannii complex	0	8	0	4
470	Acinetobacter baumannii	species	Bacteria;Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter;Acinetobacter calcoaceticus/baumannii complex;Acinetobacter baumannii	1	103	1	112
118969	Legionellales	order	Bacteria;Pseudomonadota;Gammaproteobacteria;Legionellales	0	0	0	0
444	Legionellaceae	family	Bacteria;Pseudomonadota;Gammaproteobacteria;Legionellales;Legionellaceae	0	0	0	0
445	Legionella	genus	Bacteria;Pseudomonadota;Gammaproteobacteria;Legionellales;Legionellaceae;Legionella	0	1	0	0
446	Legionella pneumophila	species	Bacteria;Pseudomonadota;Gammaproteobacteria;Legionellales;Legionellaceae;Legionella;Legionella pneumophila	1	0	0	18
135618	Methylococcales	order	Bacteria;Pseudomonadota;Gammaproteobacteria;Methylococcales	0	0	0	0
