taxonomy_id	name	rank	lineage	SRR13439790	SRR13439790_vs_NTC	SRR13439802_ntc1DNA
1236	Gammaproteobacteria	class	Bacteria;Pseudomonadota;Gammaproteobacteria	6	< NTC	89
1239	Bacillota	phylum	Bacteria;Terrabacteria group;Bacillota	10	> NTC	7
1243	Leuconostoc	genus	Bacteria;Terrabacteria group;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Leuconostoc	1	in_sample	0
1268	Micrococcaceae	family	Bacteria;Terrabacteria group;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae	24	> NTC	12
1269	Micrococcus	genus	Bacteria;Terrabacteria group;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Micrococcus	0	in_NTC	36
1270	Micrococcus luteus	species	Bacteria;Terrabacteria group;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Micrococcus;Micrococcus luteus	0	in_NTC	1
1279	Staphylococcus	genus	Bacteria;Terrabacteria group;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus	7	< NTC	27
1280	Staphylococcus aureus	species	Bacteria;Terrabacteria group;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus aureus	3	< NTC	15
1282	Staphylococcus epidermidis	species	Bacteria;Terrabacteria group;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus epidermidis	5	> NTC	1
1283	Staphylococcus haemolyticus	species	Bacteria;Terrabacteria group;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus haemolyticus	0	in_NTC	1
1286	Staphylococcus simulans	species	Bacteria;Terrabacteria group;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus simulans	0	in_NTC	1
1290	Staphylococcus hominis	species	Bacteria;Terrabacteria group;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus hominis	0	in_NTC	7
1292	Staphylococcus warneri	species	Bacteria;Terrabacteria group;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus warneri	0	in_NTC	1
1298	Deinococcus	genus	Bacteria;Terrabacteria group;Deinococcota;Deinococci;Deinococcales;Deinococcaceae;Deinococcus	0	in_NTC	1
1299	Deinococcus radiodurans	species	Bacteria;Terrabacteria group;Deinococcota;Deinococci;Deinococcales;Deinococcaceae;Deinococcus;Deinococcus radiodurans	0	in_NTC	2
1300	Streptococcaceae	family	Bacteria;Terrabacteria group;Bacillota;Bacilli;Lactobacillales;Streptococcaceae	57	> NTC	1
1301	Streptococcus	genus	Bacteria;Terrabacteria group;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	1374	> NTC	52
1303	Streptococcus oralis	species	Bacteria;Terrabacteria group;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus oralis	4	in_sample	0
1304	Streptococcus salivarius	species	Bacteria;Terrabacteria group;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus salivarius	95	in_sample	0
1305	Streptococcus sanguinis	species	Bacteria;Terrabacteria group;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus sanguinis	1	in_sample	0
1307	Streptococcus suis	species	Bacteria;Terrabacteria group;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus suis	3	in_sample	0
1308	Streptococcus thermophilus	species	Bacteria;Terrabacteria group;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus thermophilus	21	> NTC	1
1309	Streptococcus mutans	species	Bacteria;Terrabacteria group;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus mutans	4	in_sample	0
1310	Streptococcus sobrinus	species	Bacteria;Terrabacteria group;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus sobrinus	2	in_sample	0
1311	Streptococcus agalactiae	species	Bacteria;Terrabacteria group;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus agalactiae	7	> NTC	1
1313	Streptococcus pneumoniae	species	Bacteria;Terrabacteria group;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus pneumoniae	6	in_sample	0
1314	Streptococcus pyogenes	species	Bacteria;Terrabacteria group;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus pyogenes	27	> NTC	1
